,Date,Date_YMD,Status,States,value
118,22-Apr-20,2020-04-22,Recovered,Andaman and Nicobar,0
119,22-Apr-20,2020-04-22,Deceased,Andaman and Nicobar,0
120,23-Apr-20,2020-04-23,Confirmed,Andaman and Nicobar,4
121,23-Apr-20,2020-04-23,Recovered,Andaman and Nicobar,0
122,23-Apr-20,2020-04-23,Deceased,Andaman and Nicobar,0
123,24-Apr-20,2020-04-24,Confirmed,Andaman and Nicobar,7
124,24-Apr-20,2020-04-24,Recovered,Andaman and Nicobar,0
125,24-Apr-20,2020-04-24,Deceased,Andaman and Nicobar,0
126,25-Apr-20,2020-04-25,Confirmed,Andaman and Nicobar,4
127,25-Apr-20,2020-04-25,Recovered,Andaman and Nicobar,0
128,25-Apr-20,2020-04-25,Deceased,Andaman and Nicobar,0
129,26-Apr-20,2020-04-26,Confirmed,Andaman and Nicobar,0
130,26-Apr-20,2020-04-26,Recovered,Andaman and Nicobar,0
131,26-Apr-20,2020-04-26,Deceased,Andaman and Nicobar,0
132,27-Apr-20,2020-04-27,Confirmed,Andaman and Nicobar,0
133,27-Apr-20,2020-04-27,Recovered,Andaman and Nicobar,0
134,27-Apr-20,2020-04-27,Deceased,Andaman and Nicobar,0
135,28-Apr-20,2020-04-28,Confirmed,Andaman and Nicobar,0
136,28-Apr-20,2020-04-28,Recovered,Andaman and Nicobar,4
137,28-Apr-20,2020-04-28,Deceased,Andaman and Nicobar,0
138,29-Apr-20,2020-04-29,Confirmed,Andaman and Nicobar,0
139,29-Apr-20,2020-04-29,Recovered,Andaman and Nicobar,0
140,29-Apr-20,2020-04-29,Deceased,Andaman and Nicobar,0
141,30-Apr-20,2020-04-30,Confirmed,Andaman and Nicobar,0
142,30-Apr-20,2020-04-30,Recovered,Andaman and Nicobar,1
143,30-Apr-20,2020-04-30,Deceased,Andaman and Nicobar,0
144,01-May-20,2020-05-01,Confirmed,Andaman and Nicobar,0
145,01-May-20,2020-05-01,Recovered,Andaman and Nicobar,0
146,01-May-20,2020-05-01,Deceased,Andaman and Nicobar,0
147,02-May-20,2020-05-02,Confirmed,Andaman and Nicobar,0
148,02-May-20,2020-05-02,Recovered,Andaman and Nicobar,10
149,02-May-20,2020-05-02,Deceased,Andaman and Nicobar,0
150,03-May-20,2020-05-03,Confirmed,Andaman and Nicobar,0
151,03-May-20,2020-05-03,Recovered,Andaman and Nicobar,6
152,03-May-20,2020-05-03,Deceased,Andaman and Nicobar,0
153,04-May-20,2020-05-04,Confirmed,Andaman and Nicobar,0
154,04-May-20,2020-05-04,Recovered,Andaman and Nicobar,0
155,04-May-20,2020-05-04,Deceased,Andaman and Nicobar,0
156,05-May-20,2020-05-05,Confirmed,Andaman and Nicobar,0
157,05-May-20,2020-05-05,Recovered,Andaman and Nicobar,0
158,05-May-20,2020-05-05,Deceased,Andaman and Nicobar,0
159,06-May-20,2020-05-06,Confirmed,Andaman and Nicobar,0
160,06-May-20,2020-05-06,Recovered,Andaman and Nicobar,0
161,06-May-20,2020-05-06,Deceased,Andaman and Nicobar,0
162,07-May-20,2020-05-07,Confirmed,Andaman and Nicobar,0
163,07-May-20,2020-05-07,Recovered,Andaman and Nicobar,1
164,07-May-20,2020-05-07,Deceased,Andaman and Nicobar,0
165,08-May-20,2020-05-08,Confirmed,Andaman and Nicobar,0
166,08-May-20,2020-05-08,Recovered,Andaman and Nicobar,0
167,08-May-20,2020-05-08,Deceased,Andaman and Nicobar,0
168,09-May-20,2020-05-09,Confirmed,Andaman and Nicobar,0
169,09-May-20,2020-05-09,Recovered,Andaman and Nicobar,0
170,09-May-20,2020-05-09,Deceased,Andaman and Nicobar,0
171,10-May-20,2020-05-10,Confirmed,Andaman and Nicobar,0
172,10-May-20,2020-05-10,Recovered,Andaman and Nicobar,0
173,10-May-20,2020-05-10,Deceased,Andaman and Nicobar,0
174,11-May-20,2020-05-11,Confirmed,Andaman and Nicobar,0
175,11-May-20,2020-05-11,Recovered,Andaman and Nicobar,0
176,11-May-20,2020-05-11,Deceased,Andaman and Nicobar,0
177,12-May-20,2020-05-12,Confirmed,Andaman and Nicobar,0
178,12-May-20,2020-05-12,Recovered,Andaman and Nicobar,0
179,12-May-20,2020-05-12,Deceased,Andaman and Nicobar,0
180,13-May-20,2020-05-13,Confirmed,Andaman and Nicobar,0
181,13-May-20,2020-05-13,Recovered,Andaman and Nicobar,0
182,13-May-20,2020-05-13,Deceased,Andaman and Nicobar,0
183,14-May-20,2020-05-14,Confirmed,Andaman and Nicobar,0
184,14-May-20,2020-05-14,Recovered,Andaman and Nicobar,0
185,14-May-20,2020-05-14,Deceased,Andaman and Nicobar,0
186,15-May-20,2020-05-15,Confirmed,Andaman and Nicobar,0
187,15-May-20,2020-05-15,Recovered,Andaman and Nicobar,0
188,15-May-20,2020-05-15,Deceased,Andaman and Nicobar,0
189,16-May-20,2020-05-16,Confirmed,Andaman and Nicobar,0
190,16-May-20,2020-05-16,Recovered,Andaman and Nicobar,0
191,16-May-20,2020-05-16,Deceased,Andaman and Nicobar,0
192,17-May-20,2020-05-17,Confirmed,Andaman and Nicobar,0
193,17-May-20,2020-05-17,Recovered,Andaman and Nicobar,0
194,17-May-20,2020-05-17,Deceased,Andaman and Nicobar,0
195,18-May-20,2020-05-18,Confirmed,Andaman and Nicobar,0
196,18-May-20,2020-05-18,Recovered,Andaman and Nicobar,0
197,18-May-20,2020-05-18,Deceased,Andaman and Nicobar,0
198,19-May-20,2020-05-19,Confirmed,Andaman and Nicobar,0
199,19-May-20,2020-05-19,Recovered,Andaman and Nicobar,0
200,19-May-20,2020-05-19,Deceased,Andaman and Nicobar,0
201,20-May-20,2020-05-20,Confirmed,Andaman and Nicobar,0
202,20-May-20,2020-05-20,Recovered,Andaman and Nicobar,0
203,20-May-20,2020-05-20,Deceased,Andaman and Nicobar,0
204,21-May-20,2020-05-21,Confirmed,Andaman and Nicobar,0
205,21-May-20,2020-05-21,Recovered,Andaman and Nicobar,0
206,21-May-20,2020-05-21,Deceased,Andaman and Nicobar,0
207,22-May-20,2020-05-22,Confirmed,Andaman and Nicobar,0
208,22-May-20,2020-05-22,Recovered,Andaman and Nicobar,0
209,22-May-20,2020-05-22,Deceased,Andaman and Nicobar,0
210,23-May-20,2020-05-23,Confirmed,Andaman and Nicobar,0
211,23-May-20,2020-05-23,Recovered,Andaman and Nicobar,0
212,23-May-20,2020-05-23,Deceased,Andaman and Nicobar,0
213,24-May-20,2020-05-24,Confirmed,Andaman and Nicobar,0
214,24-May-20,2020-05-24,Recovered,Andaman and Nicobar,0
215,24-May-20,2020-05-24,Deceased,Andaman and Nicobar,0
216,25-May-20,2020-05-25,Confirmed,Andaman and Nicobar,0
217,25-May-20,2020-05-25,Recovered,Andaman and Nicobar,0
218,25-May-20,2020-05-25,Deceased,Andaman and Nicobar,0
219,26-May-20,2020-05-26,Confirmed,Andaman and Nicobar,0
220,26-May-20,2020-05-26,Recovered,Andaman and Nicobar,0
221,26-May-20,2020-05-26,Deceased,Andaman and Nicobar,0
222,27-May-20,2020-05-27,Confirmed,Andaman and Nicobar,0
223,27-May-20,2020-05-27,Recovered,Andaman and Nicobar,0
224,27-May-20,2020-05-27,Deceased,Andaman and Nicobar,0
225,28-May-20,2020-05-28,Confirmed,Andaman and Nicobar,0
226,28-May-20,2020-05-28,Recovered,Andaman and Nicobar,0
227,28-May-20,2020-05-28,Deceased,Andaman and Nicobar,0
228,29-May-20,2020-05-29,Confirmed,Andaman and Nicobar,0
229,29-May-20,2020-05-29,Recovered,Andaman and Nicobar,0
230,29-May-20,2020-05-29,Deceased,Andaman and Nicobar,0
231,30-May-20,2020-05-30,Confirmed,Andaman and Nicobar,0
232,30-May-20,2020-05-30,Recovered,Andaman and Nicobar,0
233,30-May-20,2020-05-30,Deceased,Andaman and Nicobar,0
234,31-May-20,2020-05-31,Confirmed,Andaman and Nicobar,0
235,31-May-20,2020-05-31,Recovered,Andaman and Nicobar,0
236,31-May-20,2020-05-31,Deceased,Andaman and Nicobar,0
237,01-Jun-20,2020-06-01,Confirmed,Andaman and Nicobar,0
238,01-Jun-20,2020-06-01,Recovered,Andaman and Nicobar,0
239,01-Jun-20,2020-06-01,Deceased,Andaman and Nicobar,0
240,02-Jun-20,2020-06-02,Confirmed,Andaman and Nicobar,0
241,02-Jun-20,2020-06-02,Recovered,Andaman and Nicobar,0
242,02-Jun-20,2020-06-02,Deceased,Andaman and Nicobar,0
243,03-Jun-20,2020-06-03,Confirmed,Andaman and Nicobar,0
244,03-Jun-20,2020-06-03,Recovered,Andaman and Nicobar,0
245,03-Jun-20,2020-06-03,Deceased,Andaman and Nicobar,0
246,04-Jun-20,2020-06-04,Confirmed,Andaman and Nicobar,0
247,04-Jun-20,2020-06-04,Recovered,Andaman and Nicobar,0
248,04-Jun-20,2020-06-04,Deceased,Andaman and Nicobar,0
249,05-Jun-20,2020-06-05,Confirmed,Andaman and Nicobar,0
250,05-Jun-20,2020-06-05,Recovered,Andaman and Nicobar,0
251,05-Jun-20,2020-06-05,Deceased,Andaman and Nicobar,0
252,06-Jun-20,2020-06-06,Confirmed,Andaman and Nicobar,0
253,06-Jun-20,2020-06-06,Recovered,Andaman and Nicobar,0
254,06-Jun-20,2020-06-06,Deceased,Andaman and Nicobar,0
255,07-Jun-20,2020-06-07,Confirmed,Andaman and Nicobar,0
256,07-Jun-20,2020-06-07,Recovered,Andaman and Nicobar,0
257,07-Jun-20,2020-06-07,Deceased,Andaman and Nicobar,0
258,08-Jun-20,2020-06-08,Confirmed,Andaman and Nicobar,0
259,08-Jun-20,2020-06-08,Recovered,Andaman and Nicobar,0
260,08-Jun-20,2020-06-08,Deceased,Andaman and Nicobar,0
261,09-Jun-20,2020-06-09,Confirmed,Andaman and Nicobar,1
262,09-Jun-20,2020-06-09,Recovered,Andaman and Nicobar,0
263,09-Jun-20,2020-06-09,Deceased,Andaman and Nicobar,0
264,10-Jun-20,2020-06-10,Confirmed,Andaman and Nicobar,1
265,10-Jun-20,2020-06-10,Recovered,Andaman and Nicobar,0
266,10-Jun-20,2020-06-10,Deceased,Andaman and Nicobar,0
267,11-Jun-20,2020-06-11,Confirmed,Andaman and Nicobar,3
268,11-Jun-20,2020-06-11,Recovered,Andaman and Nicobar,0
269,11-Jun-20,2020-06-11,Deceased,Andaman and Nicobar,0
270,12-Jun-20,2020-06-12,Confirmed,Andaman and Nicobar,0
271,12-Jun-20,2020-06-12,Recovered,Andaman and Nicobar,0
272,12-Jun-20,2020-06-12,Deceased,Andaman and Nicobar,0
273,13-Jun-20,2020-06-13,Confirmed,Andaman and Nicobar,0
274,13-Jun-20,2020-06-13,Recovered,Andaman and Nicobar,0
275,13-Jun-20,2020-06-13,Deceased,Andaman and Nicobar,0
276,14-Jun-20,2020-06-14,Confirmed,Andaman and Nicobar,2
277,14-Jun-20,2020-06-14,Recovered,Andaman and Nicobar,0
278,14-Jun-20,2020-06-14,Deceased,Andaman and Nicobar,0
279,15-Jun-20,2020-06-15,Confirmed,Andaman and Nicobar,1
280,15-Jun-20,2020-06-15,Recovered,Andaman and Nicobar,0
281,15-Jun-20,2020-06-15,Deceased,Andaman and Nicobar,0
282,16-Jun-20,2020-06-16,Confirmed,Andaman and Nicobar,3
283,16-Jun-20,2020-06-16,Recovered,Andaman and Nicobar,0
284,16-Jun-20,2020-06-16,Deceased,Andaman and Nicobar,0
285,17-Jun-20,2020-06-17,Confirmed,Andaman and Nicobar,0
286,17-Jun-20,2020-06-17,Recovered,Andaman and Nicobar,0
287,17-Jun-20,2020-06-17,Deceased,Andaman and Nicobar,0
288,18-Jun-20,2020-06-18,Confirmed,Andaman and Nicobar,1
289,18-Jun-20,2020-06-18,Recovered,Andaman and Nicobar,2
290,18-Jun-20,2020-06-18,Deceased,Andaman and Nicobar,0
291,19-Jun-20,2020-06-19,Confirmed,Andaman and Nicobar,2
292,19-Jun-20,2020-06-19,Recovered,Andaman and Nicobar,0
293,19-Jun-20,2020-06-19,Deceased,Andaman and Nicobar,0
294,20-Jun-20,2020-06-20,Confirmed,Andaman and Nicobar,0
