,Confiremed,Deceased,Recovered,Date,Date_YMD,States,value,Month-Year
156,0.0,0.0,0.0,05-May-20,2020-05-05,Andaman and Nicobar,0,May-2020
157,0.0,0.0,0.0,05-May-20,2020-05-05,Andaman and Nicobar,0,May-2020
158,0.0,0.0,0.0,05-May-20,2020-05-05,Andaman and Nicobar,0,May-2020
159,0.0,0.0,0.0,06-May-20,2020-05-06,Andaman and Nicobar,0,May-2020
160,0.0,0.0,0.0,06-May-20,2020-05-06,Andaman and Nicobar,0,May-2020
161,0.0,0.0,0.0,06-May-20,2020-05-06,Andaman and Nicobar,0,May-2020
162,0.0,0.0,0.0,07-May-20,2020-05-07,Andaman and Nicobar,0,May-2020
163,0.0,0.0,1.0,07-May-20,2020-05-07,Andaman and Nicobar,1,May-2020
164,0.0,0.0,0.0,07-May-20,2020-05-07,Andaman and Nicobar,0,May-2020
165,0.0,0.0,0.0,08-May-20,2020-05-08,Andaman and Nicobar,0,May-2020
166,0.0,0.0,0.0,08-May-20,2020-05-08,Andaman and Nicobar,0,May-2020
167,0.0,0.0,0.0,08-May-20,2020-05-08,Andaman and Nicobar,0,May-2020
168,0.0,0.0,0.0,09-May-20,2020-05-09,Andaman and Nicobar,0,May-2020
169,0.0,0.0,0.0,09-May-20,2020-05-09,Andaman and Nicobar,0,May-2020
170,0.0,0.0,0.0,09-May-20,2020-05-09,Andaman and Nicobar,0,May-2020
171,0.0,0.0,0.0,10-May-20,2020-05-10,Andaman and Nicobar,0,May-2020
172,0.0,0.0,0.0,10-May-20,2020-05-10,Andaman and Nicobar,0,May-2020
173,0.0,0.0,0.0,10-May-20,2020-05-10,Andaman and Nicobar,0,May-2020
174,0.0,0.0,0.0,11-May-20,2020-05-11,Andaman and Nicobar,0,May-2020
175,0.0,0.0,0.0,11-May-20,2020-05-11,Andaman and Nicobar,0,May-2020
176,0.0,0.0,0.0,11-May-20,2020-05-11,Andaman and Nicobar,0,May-2020
177,0.0,0.0,0.0,12-May-20,2020-05-12,Andaman and Nicobar,0,May-2020
178,0.0,0.0,0.0,12-May-20,2020-05-12,Andaman and Nicobar,0,May-2020
179,0.0,0.0,0.0,12-May-20,2020-05-12,Andaman and Nicobar,0,May-2020
180,0.0,0.0,0.0,13-May-20,2020-05-13,Andaman and Nicobar,0,May-2020
181,0.0,0.0,0.0,13-May-20,2020-05-13,Andaman and Nicobar,0,May-2020
182,0.0,0.0,0.0,13-May-20,2020-05-13,Andaman and Nicobar,0,May-2020
183,0.0,0.0,0.0,14-May-20,2020-05-14,Andaman and Nicobar,0,May-2020
184,0.0,0.0,0.0,14-May-20,2020-05-14,Andaman and Nicobar,0,May-2020
185,0.0,0.0,0.0,14-May-20,2020-05-14,Andaman and Nicobar,0,May-2020
186,0.0,0.0,0.0,15-May-20,2020-05-15,Andaman and Nicobar,0,May-2020
187,0.0,0.0,0.0,15-May-20,2020-05-15,Andaman and Nicobar,0,May-2020
188,0.0,0.0,0.0,15-May-20,2020-05-15,Andaman and Nicobar,0,May-2020
189,0.0,0.0,0.0,16-May-20,2020-05-16,Andaman and Nicobar,0,May-2020
190,0.0,0.0,0.0,16-May-20,2020-05-16,Andaman and Nicobar,0,May-2020
191,0.0,0.0,0.0,16-May-20,2020-05-16,Andaman and Nicobar,0,May-2020
192,0.0,0.0,0.0,17-May-20,2020-05-17,Andaman and Nicobar,0,May-2020
193,0.0,0.0,0.0,17-May-20,2020-05-17,Andaman and Nicobar,0,May-2020
